1-struc2vec, h:0.48454233543993996, c:0.5709945087605951, v:0.5242280538445647, s:0.5657066702842712, a:0.5520833333333334, M:0.48793270221841656, m:0.5520833333333334
1-node2vec, h:0.19290011257264272, c:0.301943232244476, v:0.23540736316069008, s:0.08032060414552689, a:0.2864583333333333, M:0.13774051945723484, m:0.2864583333333333
2-HSD-multi, h:0.37879637567031277, c:0.6188606030279843, v:0.4699453990248417, s:0.05674570044271967, a:0.7916666666666666, M:0.7266297564969291, m:0.7916666666666666
2-HSD-single, h:0.42441380918701666, c:0.6760067132415031, v:0.5214489885551152, s:0.1602054508736979, a:0.8854166666666666, M:0.8585828806944642, m:0.8854166666666666
2-graphwave, h:0.1853118274758947, c:0.6879410831293467, v:0.29197410684171254, s:0.2226848003416925, a:0.8229166666666666, M:0.8056315261268612, m:0.8229166666666666
2-struc2vec, h:0.49440295090475983, c:0.6036909470640534, v:0.5436084950750429, s:0.45576512813568115, a:0.53125, M:0.4945158777092544, m:0.53125
2-node2vec, h:0.197759745459301, c:0.33223996087458185, v:0.24793859056432838, s:0.07239755988121033, a:0.296875, M:0.13519865284268615, m:0.296875
3-HSD-multi, h:0.5197670271900526, c:0.6569006083609576, v:0.5803427680871407, s:0.34631839771361417, a:0.7864583333333334, M:0.7295906943933261, m:0.7864583333333334
3-HSD-single, h:0.5415348401955277, c:0.6244540229389856, v:0.5800460368251493, s:0.34345741203796476, a:0.8125, M:0.787180608765049, m:0.8125
3-graphwave, h:0.36611003385893426, c:0.710350850500327, v:0.4831881542694347, s:0.18197639894569076, a:0.8229166666666666, M:0.8064135269688263, m:0.8229166666666666
3-struc2vec, h:0.49218979437056193, c:0.5919802752917013, v:0.5374925173096073, s:0.5923349857330322, a:0.5625, M:0.4658095313394175, m:0.5625
3-node2vec, h:0.16875089947589933, c:0.28672242797836833, v:0.21245884096746168, s:0.08544560521841049, a:0.3333333333333333, M:0.1487949614096403, m:0.3333333333333333
4-HSD-multi, h:0.5627295392386756, c:0.6516722953150673, v:0.6039438348049186, s:0.25620017201553574, a:0.8020833333333334, M:0.6809221937979659, m:0.8020833333333334
4-HSD-single, h:0.4915840467366581, c:0.6001583391737042, v:0.5404723107965594, s:0.24052346546702175, a:0.828125, M:0.794866212839055, m:0.828125
4-graphwave, h:0.37541018195880826, c:0.6722228517755376, v:0.48177041955688416, s:0.231407650218033, a:0.8177083333333334, M:0.7658871383744044, m:0.8177083333333333
4-struc2vec, h:0.46804116876249574, c:0.5640085290186487, v:0.5115629832195998, s:0.5316045880317688, a:0.5364583333333334, M:0.45113538644551776, m:0.5364583333333334
4-node2vec, h:0.16172580175792078, c:0.31677215097622147, v:0.21412935958651644, s:0.032560739666223526, a:0.2916666666666667, M:0.1478246753246753, m:0.2916666666666667
5-HSD-multi, h:0.4978149256904314, c:0.7092007056089982, v:0.5849977206712117, s:0.17481124541771276, a:0.7708333333333334, M:0.6592583265999371, m:0.7708333333333333
5-HSD-single, h:0.504310661290572, c:0.6313908481689982, v:0.5607408874968268, s:0.2865973508233614, a:0.8697916666666666, M:0.8375044722367772, m:0.8697916666666666
5-graphwave, h:0.3925259944294297, c:0.7790066186618247, v:0.5220176446483988, s:0.19048692038299161, a:0.8645833333333334, M:0.8426275113775115, m:0.8645833333333333
5-struc2vec, h:0.5100465106204569, c:0.5917143159088002, v:0.5478536082357979, s:0.4874843657016754, a:0.5833333333333334, M:0.4863921394361759, m:0.5833333333333334
5-node2vec, h:0.1927399795522281, c:0.30713461839351014, v:0.23684788269786183, s:0.13697044551372528, a:0.3333333333333333, M:0.16133777569947785, m:0.3333333333333333
6-HSD-multi, h:0.4434317307484316, c:0.5893767044720422, v:0.5060925593061302, s:0.18739351615618083, a:0.7604166666666666, M:0.717220883796258, m:0.7604166666666666
6-HSD-single, h:0.23576570036744318, c:0.6243551152492881, v:0.3422810339014907, s:0.10744939863151104, a:0.8489583333333334, M:0.8236307904341962, m:0.8489583333333334
6-graphwave, h:0.3736198170448667, c:0.6857991262197664, v:0.48371448461773475, s:0.2968353065862265, a:0.7916666666666666, M:0.7631601217418146, m:0.7916666666666666
6-struc2vec, h:0.5076479675040574, c:0.5764699087098856, v:0.5398744618174192, s:0.494086354970932, a:0.5833333333333334, M:0.530149074629551, m:0.5833333333333334
6-node2vec, h:0.17214529407303422, c:0.1954682400799138, v:0.183066914269241, s:0.13954389095306396, a:0.2916666666666667, M:0.1515093411123976, m:0.2916666666666667
7-HSD-multi, h:0.35381563689855866, c:0.5478101571074846, v:0.42994288966667477, s:0.001795812619033943, a:0.765625, M:0.7217490635190126, m:0.765625
7-HSD-single, h:0.4617072515821794, c:0.5825461221459376, v:0.5151350730438448, s:0.19310877947063246, a:0.8125, M:0.7885118236419865, m:0.8125
7-graphwave, h:0.4680646089754844, c:0.6234652678503753, v:0.5347027745219257, s:0.28172132510706194, a:0.7916666666666666, M:0.7848621510730935, m:0.7916666666666666
7-struc2vec, h:0.4620450486419693, c:0.548343955730975, v:0.5015090397890568, s:0.4241413176059723, a:0.5885416666666666, M:0.5257849175074298, m:0.5885416666666666
7-node2vec, h:0.2067805434121871, c:0.2506009048343181, v:0.22659157462502974, s:0.16425065696239471, a:0.2604166666666667, M:0.11133077770009081, m:0.2604166666666667
8-HSD-multi, h:0.35076768123441643, c:0.5924958000940302, v:0.440658166151875, s:0.1361036796293604, a:0.8177083333333334, M:0.7514951498942157, m:0.8177083333333333
8-HSD-single, h:0.3271255766898016, c:0.5614178351867021, v:0.4133824653801282, s:0.11266262098825003, a:0.828125, M:0.7986559445063497, m:0.828125
8-graphwave, h:0.16606752671540376, c:0.6526456842657494, v:0.2647648850752215, s:0.28780886408492773, a:0.828125, M:0.8127309643159736, m:0.828125
8-struc2vec, h:0.47963140558722317, c:0.5687855292132986, v:0.5204177723553329, s:0.495132714509964, a:0.59375, M:0.5045851643380665, m:0.59375
8-node2vec, h:0.17536829452001007, c:0.3086180352844608, v:0.22365019494586655, s:0.1321108639240265, a:0.296875, M:0.1618132457059355, m:0.296875
9-HSD-multi, h:0.5132643914343634, c:0.669481588973263, v:0.581056399316522, s:0.318185554388331, a:0.78125, M:0.7306794472474698, m:0.78125
9-HSD-single, h:0.5681905752995072, c:0.6988638683985179, v:0.62678895199239, s:0.29842665990655154, a:0.8541666666666666, M:0.8241035732006017, m:0.8541666666666666
9-graphwave, h:0.18084408365668214, c:0.6817484159794694, v:0.2858595863613618, s:0.04662157572865002, a:0.8645833333333334, M:0.8489091342692096, m:0.8645833333333333
9-struc2vec, h:0.4935372290929616, c:0.5917097273656293, v:0.5381830882518163, s:0.48692354559898376, a:0.5572916666666666, M:0.5366833373025323, m:0.5572916666666666
9-node2vec, h:0.19063837691217858, c:0.27273996107603465, v:0.22441577102790064, s:0.07943539321422577, a:0.3177083333333333, M:0.13238695180430876, m:0.3177083333333333
0-HSD-multi, h:0.43283756953003943, c:0.6243283665273185, v:0.5112400306127198, s:0.17881998137567123, a:0.765625, M:0.6521630839956873, m:0.765625
0-HSD-single, h:0.48486879564991153, c:0.6155232523851877, v:0.5424394307673203, s:0.2646459391558819, a:0.796875, M:0.7526035612578108, m:0.796875
0-graphwave, h:0.36555789829540286, c:0.7210949682363964, v:0.48516314488031304, s:0.203965388161933, a:0.7760416666666666, M:0.7239372751872752, m:0.7760416666666666
0-struc2vec, h:0.4936498264567898, c:0.5735727857129695, v:0.5306186411322141, s:0.5174469351768494, a:0.5520833333333334, M:0.47347178542981583, m:0.5520833333333334
0-node2vec, h:0.19966574259839112, c:0.3162018199483392, v:0.24477085118228883, s:0.15867431461811066, a:0.2916666666666667, M:0.15928710334609208, m:0.2916666666666667
1-HSD-multi, h:0.4826699857595415, c:0.6787380640954406, v:0.5641539883804167, s:0.09156102410528155, a:0.734375, M:0.6632469045291625, m:0.734375
1-HSD-single, h:0.4704049895941805, c:0.612748578915518, v:0.5322236795751687, s:0.2987064735237404, a:0.7864583333333334, M:0.734983696911193, m:0.7864583333333334
1-graphwave, h:0.37292365993797855, c:0.7428132468284772, v:0.4965554746423254, s:0.22601942606276926, a:0.8125, M:0.7941550520027049, m:0.8125
1-struc2vec, h:0.5092331906739811, c:0.5819018478237932, v:0.5431476841479874, s:0.4388783872127533, a:0.5572916666666666, M:0.5113030966378272, m:0.5572916666666666
1-node2vec, h:0.2113430812036605, c:0.2398513457742722, v:0.2246965805242913, s:0.1365552395582199, a:0.28125, M:0.133268272079128, m:0.28125
2-HSD-multi, h:0.5236540459009363, c:0.701465498977631, v:0.5996561692858545, s:0.25416045638109286, a:0.796875, M:0.7116377121606321, m:0.796875
2-HSD-single, h:0.3530104385330305, c:0.727111148129248, v:0.47527579937834646, s:0.044157636886297556, a:0.8229166666666666, M:0.7819913772179357, m:0.8229166666666666
2-graphwave, h:0.3646790110708547, c:0.7359727594501666, v:0.48769978894291666, s:0.19061305261145048, a:0.7708333333333334, M:0.7416032738817998, m:0.7708333333333333
2-struc2vec, h:0.4828236063739206, c:0.5739053680033679, v:0.5244392199239645, s:0.41728320717811584, a:0.6041666666666666, M:0.5639117941022553, m:0.6041666666666666
2-node2vec, h:0.1893015243245681, c:0.24051698661112295, v:0.21185794019117754, s:0.18637830018997192, a:0.265625, M:0.11362637362637362, m:0.265625
3-HSD-multi, h:0.4482243136952158, c:0.6174158449641008, v:0.519388822061199, s:0.0737438943827777, a:0.7291666666666666, M:0.6437521097654074, m:0.7291666666666665
3-HSD-single, h:0.4791580121214248, c:0.6536105322741714, v:0.5529509534769457, s:0.1643940077600653, a:0.796875, M:0.7184901147224304, m:0.796875
3-graphwave, h:0.43548125054150005, c:0.6757951147980884, v:0.5296542082260084, s:0.17877810265540808, a:0.7864583333333334, M:0.7269685285474758, m:0.7864583333333334
3-struc2vec, h:0.4817905009987177, c:0.566750339423709, v:0.520828411151131, s:0.45606765151023865, a:0.59375, M:0.5025099786084422, m:0.59375
3-node2vec, h:0.2275160280447586, c:0.2958533784338625, v:0.25722323357716104, s:0.17572639882564545, a:0.265625, M:0.1169733615016634, m:0.265625
4-HSD-multi, h:0.5121298840780729, c:0.6659136168773441, v:0.5789841599920866, s:0.18994537478026952, a:0.796875, M:0.6923493729340174, m:0.796875
4-HSD-single, h:0.5183963097039741, c:0.6572487548331755, v:0.5796227778954518, s:0.10428697466429841, a:0.8385416666666666, M:0.7736177195192716, m:0.8385416666666666
